period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence,source_url_count,source_names
2020-01-01,2020-01-05,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,20.04,70.0,0.0,0.279,Dat do vang tren bazan,4,low,0,
2020-01-06,2020-01-12,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,21.071,70.429,0.1,0.267,Dat do vang tren bazan,4,low,0,
2020-01-13,2020-01-19,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,20.757,64.286,0.0,0.254,Dat do vang tren bazan,4,low,0,
2020-01-20,2020-01-26,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,21.557,65.286,0.2,0.25,Dat do vang tren bazan,4,low,0,
2020-01-27,2020-02-02,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,21.243,66.429,0.1,0.254,Dat do vang tren bazan,4,low,0,
2020-02-03,2020-02-09,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,20.771,56.571,2.8,0.252,Dat do vang tren bazan,4,low,0,
2020-02-10,2020-02-16,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,22.686,71.429,4.2,0.273,Dat do vang tren bazan,4,low,0,
2020-02-17,2020-02-23,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,21.343,61.429,0.5,0.283,Dat do vang tren bazan,4,low,0,
2020-02-24,2020-03-01,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,22.471,58.857,0.4,0.266,Dat do vang tren bazan,4,low,0,
2020-03-02,2020-03-08,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,23.371,69.857,5.0,0.276,Dat do vang tren bazan,4,low,0,
2020-03-09,2020-03-15,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,23.914,66.714,1.6,0.28,Dat do vang tren bazan,4,low,0,
2020-03-16,2020-03-22,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,23.086,62.286,0.2,0.256,Dat do vang tren bazan,4,low,0,
2020-03-23,2020-03-29,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,23.729,67.714,3.2,0.259,Dat do vang tren bazan,4,low,0,
2020-03-30,2020-04-05,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,24.214,66.0,1.0,0.274,Dat do vang tren bazan,4,low,0,
2020-04-06,2020-04-12,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,22.557,83.571,73.8,0.416,Dat do vang tren bazan,4,low,0,
2020-04-13,2020-04-19,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,22.514,81.286,6.9,0.418,Dat do vang tren bazan,4,low,0,
2020-04-20,2020-04-26,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,23.657,74.0,2.4,0.316,Dat do vang tren bazan,4,low,0,
2020-04-27,2020-05-03,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,23.786,67.714,0.6,0.29,Dat do vang tren bazan,4,low,0,
2020-05-04,2020-05-10,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,24.914,75.857,2.6,0.287,Dat do vang tren bazan,4,low,0,
2020-05-11,2020-05-17,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,24.486,75.286,8.9,0.288,Dat do vang tren bazan,4,low,0,
2020-05-18,2020-05-24,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,24.1,83.0,55.4,0.372,Dat do vang tren bazan,4,low,0,
2020-05-25,2020-05-31,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,23.314,84.143,37.2,0.447,Dat do vang tren bazan,4,low,0,
2020-06-01,2020-06-07,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,,0,interpolated_area,22.857,85.857,49.0,0.475,Dat do vang tren bazan,4,low,0,
2020-06-08,2020-06-14,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31700,31700.0,1,observed,22.757,87.714,77.7,0.463,Dat do vang tren bazan,4,low,1,Nong Nghiep Moi Truong
2020-06-15,2020-06-21,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,30500,30500.0,3,observed,22.7,87.0,74.5,0.487,Dat do vang tren bazan,4,low,3,Nong Nghiep Moi Truong
2020-06-22,2020-06-28,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,30598,,0,interpolated_area,22.429,88.0,46.0,0.47,Dat do vang tren bazan,4,low,0,
2020-06-29,2020-07-05,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,30695,,0,interpolated_area,21.614,88.857,77.6,0.495,Dat do vang tren bazan,4,low,0,
2020-07-06,2020-07-12,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,30792,,0,interpolated_area,21.957,86.714,26.1,0.469,Dat do vang tren bazan,4,low,0,
2020-07-13,2020-07-19,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,30890,,0,interpolated_area,22.6,86.571,20.0,0.464,Dat do vang tren bazan,4,low,0,
2020-07-20,2020-07-26,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,30988,,0,interpolated_area,22.357,86.0,30.1,0.439,Dat do vang tren bazan,4,low,0,
2020-07-27,2020-08-02,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31085,,0,interpolated_area,22.229,89.286,78.7,0.487,Dat do vang tren bazan,4,low,0,
2020-08-03,2020-08-09,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31182,,0,interpolated_area,22.314,88.429,76.2,0.499,Dat do vang tren bazan,4,low,0,
2020-08-10,2020-08-16,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31280,,0,interpolated_area,22.343,87.714,58.0,0.493,Dat do vang tren bazan,4,low,0,
2020-08-17,2020-08-23,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31378,,0,interpolated_area,22.271,85.857,35.4,0.484,Dat do vang tren bazan,4,low,0,
2020-08-24,2020-08-30,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31475,,0,interpolated_area,23.357,85.286,11.5,0.415,Dat do vang tren bazan,4,low,0,
2020-08-31,2020-09-06,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31572,,0,interpolated_area,22.543,86.857,61.0,0.466,Dat do vang tren bazan,4,low,0,
2020-09-07,2020-09-13,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31670,,0,interpolated_area,22.143,87.429,29.5,0.477,Dat do vang tren bazan,4,low,0,
2020-09-14,2020-09-20,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31768,,0,interpolated_area,21.729,89.857,89.7,0.496,Dat do vang tren bazan,4,low,0,
2020-09-21,2020-09-27,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31865,,0,interpolated_area,21.886,88.286,34.7,0.497,Dat do vang tren bazan,4,low,0,
2020-09-28,2020-10-04,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31962,,0,interpolated_area,21.857,89.571,102.7,0.496,Dat do vang tren bazan,4,low,0,
2020-10-05,2020-10-11,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,32060,,0,interpolated_area,21.486,91.286,142.9,0.506,Dat do vang tren bazan,4,low,0,
2020-10-12,2020-10-18,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,32158,,0,interpolated_area,21.257,92.286,154.8,0.503,Dat do vang tren bazan,4,low,0,
2020-10-19,2020-10-25,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,32255,,0,interpolated_area,21.657,88.571,59.4,0.496,Dat do vang tren bazan,4,low,0,
2020-10-26,2020-11-01,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,32352,,0,interpolated_area,21.014,88.714,39.8,0.485,Dat do vang tren bazan,4,low,0,
2020-11-02,2020-11-08,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,32450,,0,province_proxy,20.443,83.857,18.3,0.462,Dat do vang tren bazan,4,low,0,
2020-11-09,2020-11-15,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,33280,33280.0,5,observed,20.586,86.571,42.2,0.477,Dat do vang tren bazan,4,low,5,Nong Nghiep Moi Truong
2020-11-16,2020-11-22,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,33300,33300.0,5,observed,21.0,83.571,6.6,0.416,Dat do vang tren bazan,4,low,5,Nong Nghiep Moi Truong
2020-11-23,2020-11-29,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,32825,,0,interpolated_area,20.5,81.714,44.3,0.408,Dat do vang tren bazan,4,low,0,
2020-11-30,2020-12-06,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,32350,32350.0,2,observed,19.757,81.286,21.3,0.456,Dat do vang tren bazan,4,low,2,Nong Nghiep Moi Truong
2020-12-07,2020-12-13,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31900,31900.0,4,observed,20.457,86.571,22.9,0.471,Dat do vang tren bazan,4,low,4,Nong Nghiep Moi Truong
2020-12-14,2020-12-20,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,32671,32671.428571428572,7,observed,20.557,82.857,11.7,0.452,Dat do vang tren bazan,4,low,7,Nong Nghiep Moi Truong
2020-12-21,2020-12-27,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,32636,,0,interpolated_area,20.429,82.714,14.6,0.441,Dat do vang tren bazan,4,low,0,
2020-12-28,2021-01-03,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,32600,32600.0,2,observed,18.943,80.143,6.0,0.432,Dat do vang tren bazan,4,low,2,Nong Nghiep Moi Truong
2021-01-04,2021-01-10,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31300,31300.0,1,observed,19.6,79.286,2.0,0.374,Dat do vang tren bazan,4,low,1,Nong Nghiep Moi Truong
2021-01-11,2021-01-17,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31486,31485.714285714286,7,observed,17.871,73.143,0.0,0.306,Dat do vang tren bazan,4,low,7,Nong Nghiep Moi Truong
2021-01-18,2021-01-24,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31800,31800.0,1,observed,19.586,80.286,15.6,0.319,Dat do vang tren bazan,4,low,1,Nong Nghiep Moi Truong
2021-01-25,2021-01-31,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31475,,0,interpolated_area,19.5,74.571,1.4,0.335,Dat do vang tren bazan,4,low,0,
2021-02-01,2021-02-07,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31150,31150.0,2,observed,19.914,73.429,1.8,0.291,Dat do vang tren bazan,4,low,2,Nong Nghiep Moi Truong
2021-02-08,2021-02-14,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31200,31200.0,2,observed,20.143,75.0,9.1,0.316,Dat do vang tren bazan,4,low,2,Nong Nghiep Moi Truong
2021-02-15,2021-02-21,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31160,31160.0,5,observed,18.6,67.429,0.0,0.286,Dat do vang tren bazan,4,low,5,Nong Nghiep Moi Truong
2021-02-22,2021-02-28,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31630,,0,interpolated_area,21.071,69.286,4.1,0.271,Dat do vang tren bazan,4,low,0,
2021-03-01,2021-03-07,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,32100,32100.0,1,observed,21.657,66.143,6.6,0.301,Dat do vang tren bazan,4,low,1,Nong Nghiep Moi Truong
2021-03-08,2021-03-14,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,32050,32050.0,4,observed,21.686,61.143,1.2,0.28,Dat do vang tren bazan,4,low,4,Nong Nghiep Moi Truong
2021-03-15,2021-03-21,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31720,31720.0,5,observed,22.914,70.143,1.9,0.269,Dat do vang tren bazan,4,low,5,Nong Nghiep Moi Truong
2021-03-22,2021-03-28,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31485,,0,interpolated_area,23.3,67.571,9.0,0.311,Dat do vang tren bazan,4,low,0,
2021-03-29,2021-04-04,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31250,31250.0,2,observed,23.443,76.857,12.3,0.343,Dat do vang tren bazan,4,low,2,Nong Nghiep Moi Truong
2021-04-05,2021-04-11,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31600,31600.0,2,observed,22.557,70.571,4.1,0.318,Dat do vang tren bazan,4,low,2,Nong Nghiep Moi Truong
2021-04-12,2021-04-18,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,31829,31828.571428571428,7,observed,23.014,77.571,11.0,0.316,Dat do vang tren bazan,4,low,7,Nong Nghiep Moi Truong
